Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
934,19-09-2021,Ligue 1,Paris Saint-Germain,2-1,Olympique Lyonnais,Starter,75,0,0,0,30
933,15-09-2021,UEFA Champions League,Club Brugge,1-1,Paris Saint-Germain,Starter,90,0,0,1,30
932,09-09-2021,World Cup 2022 Qualification,Argentina,3-0,Bolivia,Starter,90,3,0,0,10
931,02-09-2021,World Cup 2022 Qualification,Venezuela,1-3,Argentina,Starter,90,0,0,0,10
930,29-08-2021,Ligue 1,Stade de Reims,0-2,Paris Saint-Germain,Substitute,25,0,0,0,30
929,10-07-2021,Copa América 2021,Argentina,1-0,Brazil,Starter,90,0,0,0,10
928,06-07-2021,Copa América 2021,Argentina,1-1,Colombia,Starter,90,0,1,0,10
927,03-07-2021,Copa América 2021,Argentina,3-0,Ecuador,Starter,90,1,2,0,10
926,28-06-2021,Copa América 2021,Bolivia,1-4,Argentina,Starter,90,2,1,0,10
925,21-06-2021,Copa América 2021,Argentina,1-0,Paraguay,Starter,90,0,0,0,10
924,18-06-2021,Copa América 2021,Argentina,1-0,Uruguay,Starter,90,0,1,0,10
923,14-06-2021,Copa América 2021,Argentina,1-1,Chile,Starter,90,1,0,0,10
922,09-06-2021,World Cup 2022 Qualification,Colombia,2-2,Argentina,Starter,90,0,0,0,10
921,04-06-2021,World Cup 2022 Qualification,Argentina,1-1,Chile,Starter,90,1,0,0,10
920,16-05-2021,La Liga,FC Barcelona,1-2,Celta de Vigo,Starter,90,1,0,0,10
919,11-05-2021,La Liga,Levante,3-3,FC Barcelona,Starter,90,1,0,0,10
918,08-05-2021,La Liga,FC Barcelona,0-0,Atlético Madrid,Starter,90,0,0,0,10
917,02-05-2021,La Liga,Valencia,2-3,FC Barcelona,Starter,90,2,0,0,10
916,29-04-2021,La Liga,FC Barcelona,1-2,Granada,Starter,90,1,0,0,10
915,25-04-2021,La Liga,Villarreal,1-2,FC Barcelona,Starter,90,0,0,0,10
914,22-04-2021,La Liga,FC Barcelona,5-2,Getafe,Starter,90,2,1,0,10
913,17-04-2021,Copa del Rey,Athletic de Bilbao,0-4,FC Barcelona,Starter,90,2,0,0,10
912,10-04-2021,La Liga,Real Madrid,2-1,FC Barcelona,Starter,90,0,0,0,10
911,05-04-2021,La Liga,FC Barcelona,1-0,Real Valladolid,Starter,90,0,0,0,10
910,21-03-2021,La Liga,Real Sociedad,1-6,FC Barcelona,Starter,90,2,1,0,10
909,15-03-2021,La Liga,FC Barcelona,4-1,Huesca,Starter,90,2,1,0,10
908,10-03-2021,UEFA Champions League,Paris Saint-Germain,1-1,FC Barcelona,Starter,90,1,0,0,10
907,06-03-2021,La Liga,Osasuna,0-2,FC Barcelona,Starter,90,0,2,0,10
906,03-03-2021,Copa del Rey,FC Barcelona,3-0,Sevilla,Starter,90,0,0,0,10
905,27-02-2021,La Liga,Sevilla,0-2,FC Barcelona,Starter,90,1,1,1,10
904,24-02-2021,La Liga,FC Barcelona,3-0,Elche,Starter,90,2,0,0,10
903,21-02-2021,La Liga,FC Barcelona,1-1,Cádiz,Starter,90,1,0,0,10
902,16-02-2021,UEFA Champions League,FC Barcelona,1-4,Paris Saint-Germain,Starter,90,1,0,0,10
901,13-02-2021,La Liga,FC Barcelona,5-1,Alavés,Starter,90,2,1,0,10
900,10-02-2021,Copa del Rey,Sevilla,2-0,FC Barcelona,Starter,90,0,0,0,10
899,07-02-2021,La Liga,Real Betis,2-3,FC Barcelona,Substitute,34,1,0,0,10
898,03-02-2021,Copa del Rey,Granada,3-5,FC Barcelona,Starter,90,0,1,1,10
897,31-01-2021,La Liga,FC Barcelona,2-1,Athletic de Bilbao,Starter,90,1,0,0,10
896,27-01-2021,Copa del Rey,Rayo Vallecano,1-2,FC Barcelona,Starter,90,1,0,0,10
895,17-01-2021,Spanish Super Cup,FC Barcelona,2-3,Athletic de Bilbao,Starter,119,0,0,1,10
894,09-01-2021,La Liga,Granada,0-4,FC Barcelona,Starter,64,2,0,0,10
893,06-01-2021,La Liga,Athletic de Bilbao,2-3,FC Barcelona,Starter,90,2,0,0,10
892,03-01-2021,La Liga,Huesca,0-1,FC Barcelona,Starter,90,0,1,0,10
891,22-12-2020,La Liga,Real Valladolid,0-3,FC Barcelona,Starter,90,1,1,0,10
890,19-12-2020,La Liga,FC Barcelona,2-2,Valencia,Starter,90,1,0,0,10
889,16-12-2020,La Liga,FC Barcelona,2-1,Real Sociedad,Starter,90,0,0,0,10
888,13-12-2020,La Liga,FC Barcelona,1-0,Levante,Starter,90,1,0,0,10
887,08-12-2020,UEFA Champions League,FC Barcelona,0-3,Juventus,Starter,90,0,0,0,10
886,05-12-2020,La Liga,Cádiz,2-1,FC Barcelona,Starter,90,0,0,0,10
885,29-11-2020,La Liga,FC Barcelona,4-0,Osasuna,Starter,90,1,0,1,10
884,21-11-2020,La Liga,Atlético Madrid,1-0,FC Barcelona,Starter,90,0,0,0,10
883,18-11-2020,World Cup 2022 Qualification,Peru,0-2,Argentina,Starter,90,0,0,0,10
882,12-11-2020,World Cup 2022 Qualification,Argentina,1-1,Paraguay,Starter,90,0,0,0,10
881,07-11-2020,La Liga,FC Barcelona,5-2,Real Betis,Substitute,45,2,0,0,10
880,04-11-2020,UEFA Champions League,FC Barcelona,2-1,Dynamo Kyiv,Starter,90,1,0,0,10
879,31-10-2020,La Liga,Alavés,1-1,FC Barcelona,Starter,90,0,0,1,10
878,28-10-2020,UEFA Champions League,Juventus,0-2,FC Barcelona,Starter,90,1,1,0,10
877,24-10-2020,La Liga,FC Barcelona,1-3,Real Madrid,Starter,90,0,0,1,10
876,20-10-2020,UEFA Champions League,FC Barcelona,5-1,Ferencváros,Starter,90,1,1,0,10
875,17-10-2020,La Liga,Getafe,1-0,FC Barcelona,Starter,90,0,0,0,10
874,13-10-2020,World Cup 2022 Qualification,Bolivia,1-2,Argentina,Starter,90,0,0,0,10
873,09-10-2020,World Cup 2022 Qualification,Argentina,1-0,Ecuador,Starter,90,1,0,0,10
872,04-10-2020,La Liga,FC Barcelona,1-1,Sevilla,Starter,90,0,0,0,10
871,01-10-2020,La Liga,Celta de Vigo,0-3,FC Barcelona,Starter,90,0,0,0,10
870,27-09-2020,La Liga,FC Barcelona,4-0,Villarreal,Starter,90,1,0,0,10
869,14-08-2020,UEFA Champions League,FC Barcelona,2-8,Bayern München,Starter,90,0,0,0,10
